1n1;1sym;1n2;1sym;1l;1j;1s;2n1;2sym;2n2;2sym;2l;2j;2s;P;E
4;s;4;s;0;0.5;0.5;4;p;6;p;1;1.5;0.5;0.018029;56058
4;s;4;s;0;0.5;0.5;4;p;6;p;1;0.5;0.5;0.060356085;55769
4;s;4;s;0;0.5;0.5;4;p;5;p;1;1.5;0.5;4.3465424;24517
4;s;4;s;0;0.5;0.5;4;p;5;p;1;0.5;0.5;3.07695;23715
4;s;4;s;0;0.5;0.5;4;p;4;d;2;2.5;0.5;0.001213;14836
4;s;4;s;0;0.5;0.5;4;p;4;d;2;1.5;0.5;0.0015234;14556
5;s;5;p;1;0;1;5;s;4;d;2;1;1;2.671;3842
5;s;5;p;1;0;1;5;s;6;s;0;1;1;1.962;14721
5;s;5;p;1;0;1;5;s;5;d;2;1;1;2.45;20690
5;s;5;p;1;0;1;5;s;7;s;0;1;1;0.516;23107
5;s;5;p;1;0;1;5;p;5;p;1;1;1;2.605;21083
5;s;5;p;1;0;1;5;s;6;d;2;1;1;1.161;25368
5;s;5;p;1;0;1;5;s;8;s;1;1;1;0.302;26444
5;s;5;p;1;0;1;5;s;7;d;2;1;1;0.822;27547
5;s;5;p;1;0;1;5;s;9;s;0;1;1;0.27;28279
5;s;5;p;1;0;1;5;s;8;d;2;1;1;0.82;29868
5;s;5;p;1;1;1;5;s;5;s;0;0;0;0.151;-14504
5;s;5;p;1;1;1;5;s;4;d;2;1;1;2.322;3655
5;s;5;p;1;1;1;5;s;4;d;2;2;1;4.019;3714
5;s;5;p;1;1;1;5;s;4;d;2;2;0;0.190;5645
5;s;5;p;1;1;1;5;s;6;s;0;1;1;3.425;14534
5;s;5;p;1;1;1;5;s;6;s;0;0;0;0.045;16087
5;s;5;p;1;1;1;5;s;5;d;2;2;0;0.061;20223
5;s;5;p;1;1;1;5;s;5;d;2;1;1;2.009;20503
5;s;5;p;1;1;1;5;s;5;d;2;2;1;3.673;20518
5;s;5;p;1;1;1;5;p;5;p;1;0;1;2.657;20689
5;s;5;p;1;1;1;5;p;5;p;1;1;1;2.362;20896
5;s;5;p;1;1;1;5;p;5;p;1;2;1;2.865;21170
5;s;5;p;1;1;1;5;p;5;p;2;2;0;0.228;22457
5;s;5;p;1;1;1;5;p;5;p;0;0;0;0.291;22656
5;s;5;p;1;1;1;5;s;7;s;0;1;1;0.921;22920
5;s;5;p;1;2;1;5;s;4;d;2;2;1;0.603;3321
5;s;5;p;1;2;1;5;s;4;d;2;1;1;2.335;3262
5;s;5;p;1;2;1;5;s;4;d;2;3;1;5.538;3421
5;s;5;p;1;2;1;5;s;4;d;2;2;0;0.104;5252
5;s;5;p;1;2;1;5;s;6;s;0;1;1;4.508;14141
5;s;5;p;1;2;1;5;s;5;d;2;2;0;0.362;19830
5;s;5;p;1;2;1;5;s;5;d;2;1;1;0.462;20110
5;s;5;p;1;2;1;5;s;5;d;2;2;1;1.96;20125
5;s;5;p;1;2;1;5;s;5;d;2;3;1;5;20123
5;s;5;p;1;2;1;5;p;5;p;1;1;1;3;20503
5;s;5;p;1;2;1;5;p;5;p;1;2;1;5.12;20777
5;s;5;p;1;2;1;5;p;5;p;2;2;0;0.683;22064
5;s;5;s;0;0;0;5;s;5;p;1;1;1;0.151;14504
5;s;5;s;0;0;0;5;s;5;p;1;1;0;5.248;21698
