1n1;1sym;1n2;1sym;1l;1j;1s;2n1;2sym;2n2;2sym;2l;2j;2s;P;E
5;s;5;s;1;0;1;5;s;20;s;0;1;1;0.0148159 ;31217
5;s;5;s;1;0;1;5;s;21;s;0;1;1;0.01354839;31259
5;s;5;s;1;0;1;5;s;22;s;0;1;1;0.01243782;31296
5;s;5;s;1;0;1;5;s;23;s;0;1;1;0.01146633;31327
5;s;5;s;1;0;1;5;s;24;s;0;1;1;0.01061634;31354
5;s;5;s;1;0;1;5;s;25;s;0;1;1;0.00987116;31378
5;s;5;s;1;0;1;5;s;26;s;0;1;1;0.00921539;31399
5;s;5;s;1;0;1;5;s;27;s;0;1;1;0.00863524;31417
5;s;5;s;1;0;1;5;s;28;s;0;1;1;0.00811859;31433
5;s;5;s;1;0;1;5;s;29;s;0;1;1;0.00765504;31448
5;s;5;s;1;0;1;5;s;30;s;0;1;1;0.00723582;31460
5;s;5;s;1;0;1;5;s;31;s;0;1;1;0.00685364;31471
5;s;5;s;1;0;1;5;s;32;s;0;1;1;0.00650254;31481
5;s;5;s;1;0;1;5;s;33;s;0;1;1;0.00617771;31490
5;s;5;s;1;0;1;5;s;34;s;0;1;1;0.00587529;31498
5;s;5;s;1;0;1;5;s;35;s;0;1;1;0.00559223;31504
5;s;5;s;1;0;1;5;s;36;s;0;1;1;0.00532608;31511
5;s;5;s;1;0;1;5;s;37;s;0;1;1;0.00507495;31516
5;s;5;s;1;0;1;5;s;38;s;0;1;1;0.0048373 ;31521
5;s;5;s;1;0;1;5;s;39;s;0;1;1;0.00461192;31526
5;s;5;s;1;0;1;5;s;40;s;0;1;1;0.00439782;31530
5;s;5;s;1;0;1;5;s;41;s;0;1;1;0.00419417;31535
5;s;5;s;1;0;1;5;s;42;s;0;1;1;0.00400031;31539
5;s;5;s;1;0;1;5;s;43;s;0;1;1;0.00381563;31542
5;s;5;s;1;0;1;5;s;44;s;0;1;1;0.00363962;31546
5;s;5;s;1;0;1;5;s;45;s;0;1;1;0.00347183;31549
5;s;5;s;1;0;1;5;s;46;s;0;1;1;0.00331183;31553
5;s;5;s;1;0;1;5;s;47;s;0;1;1;0.00315924;31556
5;s;5;s;1;0;1;5;s;48;s;0;1;1;0.0030137 ;31560
5;s;5;s;1;0;1;5;s;49;s;0;1;1;0.00287488;31563
